Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Gyllborg et al NAR	10.1093/nar/gkaa792	Daniel Gyllborg, Christoffer Mattsson Langseth, Xiaoyan Qian, Eunkyoung Choi, Sergio Marco Salas, Markus M Hilscher, Ed S Lein, Mats Nilsson	Nucleic Acids Research	Hybridization-based in situ sequencing (HybISS) for spatially resolved transcriptomics in human and mouse brain tissue	20200911	""	""	""	""	HybISS	""	""	In Situ	""	""	""	""		""	""	""	""	""	""	""	""	
Xing et al SAdvances	10.1126/sciadv.aba1190	Q. R. Xing, C. A. El Farran, P. Gautam, Y. S. Chuah, T. Warrier, C. X. D. Toh, N. Y. Kang, S. Sugii, Y. T. Chang, J. Xu, J. J. Collins, G. Q. Daley, H. Li, L. F. Zhang, Y. H. Loh	Sci. Adv.	Diversification of reprogramming trajectories revealed by parallel single-cell transcriptome and chromatin accessibility sequencing	20200912	""	33,468	Human	Culture	Chromium & STRT-seq (C1)	GSE100345	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Cowan et al Cell	10.1016/j.cell.2020.08.013	Cameron S. Cowan, Magdalena Renner, Martina De Gennaro, Brigitte Gross-Scherf, David Goldblum, Yanyan Hou, Martin Munz, Tiago M. Rodrigues, Jacek Krol, Tamas Szikra, Rachel Cuttat, Annick Waldt, Panagiotis Papasaikas, Roland Diggelmann, Claudia P. Patino-Alvarez, Patricia Galliker, Stefan E. Spirig, Dinko Pavlinic, Nadine Gerber-Hollbach, Sven Schuierer, Aldin Srdanovic, Marton Balogh, Riccardo Panero, Akos Kusnyerik, Arnold Szabo, Michael B. Stadler, Selim Orgül, Simone Picelli, Pascal W. Hasler, Andreas Hierlemann, Hendrik P.N. Scholl, Guglielmo Roma, Florian Nigsch, Botond Roska	Cell	Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution	20200917	""	285,411	Human	Culture, Retina	Chromium	https://doi.org/10.17632/sm67hr5bpm.1	""	RNA-seq	cells from the peripheral and foveal retina	""	""	Adut	65	Yes	No	No	Yes	No	""	""	""	3
Dong et al CCell	10.1016/j.ccell.2020.08.014	Rui Dong, Ran Yang, Yong Zhan, Hua-Dong Lai, Chun-Jing Ye, Xiao-Ying Yao, Wen-Qin Luo, Xiao-Mu Cheng, Ju-Ju Miao, Jun-Feng Wang, Bai-Hui Liu, Xiang-Qi Liu, Lu-Lu Xie, Yi Li, Man Zhang, Lian Chen, Wei-Chen Song, Wei Qian, Wei-Qiang Gao, Yun-Hui Tang, Chun-Yan Shen, Wei Jiang, Gong Chen, Wei Yao, Kui-Ran Dong, Xian-Min Xiao, Shan Zheng, Kai Li, Jia Wang	Cancer Cell	Single-Cell Characterization of Malignant Phenotypes and Developmental Trajectories of Adrenal Neuroblastoma	20200917	""	173,013	Human	Adrenal gland, Tumor	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	16
Liu et al Nature	10.1038/s41586-020-2734-6	Xiaodong Liu, John F. Ouyang, Fernando J. Rossello, Jia Ping Tan, Kathryn C. Davidson, Daniela S. Valdes, Jan Schröder, Yu B. Y. Sun, Joseph Chen, Anja S. Knaupp, Guizhi Sun, Hun S. Chy, Ziyi Huang, Jahnvi Pflueger, Jaber Firas, Vincent Tano, Sam Buckberry, Jacob M. Paynter, Michael R. Larcombe, Daniel Poppe, Xin Yi Choo, Carmel M. O’Brien, William A. Pastor, Di Chen, Anna L. Leichter, Haroon Naeem, Pratibha Tripathi, Partha P. Das, Alexandra Grubman, David R. Powell, Andrew L. Laslett, Laurent David, Susan K. Nilsson, Amander T. Clark, Ryan Lister, Christian M. Nefzger, Luciano G. Martelotto, Owen J. L. Rackham, Jose M. Polo	Nature	Reprogramming roadmap reveals route to human induced trophoblast stem cells	20200917	""	45,774	Human	Culture	Chromium	GSE150311	""	RNA-seq	Dermal fibroblasts	""	""	""		""	""	""	""	""	""	""	""	
Zanini et al SReports	10.1038/s41598-020-71805-1	Fabio Zanini, Bojk A. Berghuis, Robert C. Jones, Benedetta Nicolis di Robilant, Rachel Yuan Nong, Jeffrey A. Norton, Michael F. Clarke, Stephen R. Quake	Sci Rep	Northstar enables automatic classification of known and novel cell types from tumor samples	20200917	""	1,622	Human	Pancreas, Tumor	Smart-seq2	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	11
Pappalardo et al SImmunology	10.1126/sciimmunol.abb8786	Jenna L. Pappalardo, Le Zhang, Maggie K. Pecsok, Kelly Perlman, Chrysoula Zografou, Khadir Raddassi, Ahmad Abulaban, Smita Krishnaswamy, Jack Antel, David van Dijk, David A. Hafler	Sci. Immunol.	Transcriptomic and clonal characterization of T cells in the human central nervous system	20200919	""	50,483	Human	Brain, Spine	Chromium	GSE157277	""	RNA-seq	T cells from CSF and parenchyma	Multiple sclerosis	""	""	8	Yes	No	No	Yes	No	""	""	""	6
Wang et al EMI	10.1080/22221751.2020.1826361	Shaobo Wang, Qiong Zhang, Hui Hui, Kriti Agrawal, Maile Ann Young Karris, Tariq M. Rana	Emerging Microbes & Infections	An atlas of immune cell exhaustion in HIV-infected individuals revealed by single-cell transcriptomics	20200919	10.1101/678763	43,731	Human	Blood	Chromium	""	""	RNA-seq	PBMCs	""	""	""		""	""	""	""	""	""	""	""	
Pan et al Circulation	10.1161/CIRCULATIONAHA.120.048378	Huize Pan, Chenyi Xue, Benjamin J. Auerbach, Jiaxin Fan, Alexander C. Bashore, Jian Cui, Dina Y. Yang, Sarah B. Trignano, Wen Liu, Jianting Shi, Chinyere O. Ihuegbu, Erin C. Bush, Jeremy Worley, Lukas Vlahos, Pasquale Laise, Robert A. Solomon, Edward S. Connolly, Andrea Califano, Peter A. Sims, Hanrui Zhang, Mingyao Li, Muredach P. Reilly	Circulation	Single-Cell Genomics Reveals a Novel Cell State During Smooth Muscle Cell Phenotypic Switching and Potential Therapeutic Targets for Atherosclerosis in Mouse and Human	20200923	""	""	Human, Mouse	Aorta, Artery	Chromium	GSE155514	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Litviňuková et al Nature	10.1038/s41586-020-2797-4	Monika Litviňuková, Carlos Talavera-López, Henrike Maatz, Daniel Reichart, Catherine L. Worth, Eric L. Lindberg, Masatoshi Kanda, Krzysztof Polanski, Matthias Heinig, Michael Lee, Emily R. Nadelmann, Kenny Roberts, Liz Tuck, Eirini S. Fasouli, Daniel M. DeLaughter, Barbara McDonough, Hiroko Wakimoto, Joshua M. Gorham, Sara Samari, Krishnaa T. Mahbubani, Kourosh Saeb-Parsy, Giannino Patone, Joseph J. Boyle, Hongbo Zhang, Hao Zhang, Anissa Viveiros, Gavin Y. Oudit, Omer Ali Bayraktar, J. G. Seidman, Christine E. Seidman, Michela Noseda, Norbert Hubner, Sarah A. Teichmann	Nature	Cells of the adult human heart	20200924	""	""	Human	Heart	Chromium	ERP123138	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Ruiz-Villalba et al Circulation	10.1161/CIRCULATIONAHA.119.044557	Adrián Ruiz-Villalba, Juan P. Romero, Silvia C. Hernández, Amaia Vilas-Zornoza, Nikolaus Fortelny, Laura Castro-Labrador, Patxi San Martin-Uriz, Erika Lorenzo-Vivas, Paula García-Olloqui, Marcel Palacio, Juan José Gavira, Gorka Bastarrika, Stefan Janssens, Ming Wu, Elena Iglesias, Gloria Abizanda, Xabier Martinez de Morentin, Miren Lasaga, Nuria Planell, Christoph Bock, Diego Alignani, Gema Medal, Igor Prudovsky, Yong-Ri Jin, Sergey Ryzhov, Haifeng Yin, Beatriz Pelacho, David Gomez-Cabrero, Volkhard Lindner, David Lara-Astiaso, Felipe Prósper	Circulation	Single-Cell RNA Sequencing Analysis Reveals a Crucial Role for CTHRC1 (Collagen Triple Helix Repeat Containing 1) Cardiac Fibroblasts After Myocardial Infarction	20200925	10.1101/643130	29,176	Mouse	Heart	""	""	""	RNA-seq	Heart	""	""	""	11	Yes	""	""	""	Yes	""	""	""	
Conway et al JASN	10.1681/ASN.2020060806	Bryan R. Conway, Eoin D. O’Sullivan, Carolynn Cairns, James O’Sullivan, Daniel J. Simpson, Angela Salzano, Katie Connor, Peng Ding, Duncan Humphries, Kevin Stewart, Oliver Teenan, Riinu Pius, Neil C. Henderson, Cécile Bénézech, Prakash Ramachandran, David Ferenbach, Jeremy Hughes, Tamir Chandra, Laura Denby	JASN	Kidney Single-Cell Atlas Reveals Myeloid Heterogeneity in Progression and Regression of Kidney Disease	20200925	""	""	Mouse	Kidney	Chromium & Smart-seq2	GSE140023	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Böttcher et al bioRxiv	10.1101/2020.09.25.313239	Michael Böttcher, Yuhki Tada, Jonathan Moody, Masayo Kondo, Hiroki Ura, Imad Abugessaisa, Takeya Kasukawa, Chung-Chau Hon, Koji Nagao, Piero Carninci, Kuniya Abe	bioRxiv	Single-cell transcriptomics, scRNA-Seq and C1 CAGE discovered distinct phases of pluripotency during naïve-to-primed conversion in mice	20200925	10.1101/2020.09.25.313239	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Depuydt et al CResearch	10.1161/CIRCRESAHA.120.316770	Marie A.C. Depuydt, Koen H.M. Prange, Lotte Slenders, Tiit Örd, Danny Elbersen, Arjan Boltjes, Saskia C.A. de Jager, Folkert W. Asselbergs, Gert J. de Borst, Einari Aavik, Tapio Lönnberg, Esther Lutgens, Christopher K. Glass, Hester M. den Ruijter, Minna U. Kaikkonen, Ilze Bot, Bram Slütter, Sander W. van der Laan, Seppo Yla-Herttuala, Michal Mokry, Johan Kuiper, Menno P.J. de Winther, Gerard Pasterkamp	Circ Res	Microanatomy of the Human Atherosclerotic Plaque by Single-Cell Transcriptomics	20200928	""	""	Human	Heart	CEL-seq2	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Lin et al GMedicine	10.1186/s13073-020-00776-9	Wei Lin, Pawan Noel, Erkut H. Borazanci, Jeeyun Lee, Albert Amini, In Woong Han, Jin Seok Heo, Gayle S. Jameson, Cory Fraser, Margaux Steinbach, Yanghee Woo, Yuman Fong, Derek Cridebring, Daniel D. Von Hoff, Joon Oh Park, Haiyong Han	Genome Med	Single-cell transcriptome analysis of tumor and stromal compartments of pancreatic ductal adenocarcinoma primary tumors and metastatic lesions	20200929	""	6,236	Human	Pancreas, Tumor	Chromium	GSE154778	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Badimon et al Nature	10.1038/s41586-020-2777-8	Ana Badimon, Hayley J. Strasburger, Pinar Ayata, Xinhong Chen, Aditya Nair, Ako Ikegami, Philip Hwang, Andrew T. Chan, Steven M. Graves, Joseph O. Uweru, Carola Ledderose, Munir Gunes Kutlu, Michael A. Wheeler, Anat Kahan, Masago Ishikawa, Ying-Chih Wang, Yong-Hwee E. Loh, Jean X. Jiang, D. James Surmeier, Simon C. Robson, Wolfgang G. Junger, Robert Sebra, Erin S. Calipari, Paul J. Kenny, Ukpong B. Eyo, Marco Colonna, Francisco J. Quintana, Hiroaki Wake, Viviana Gradinaru, Anne Schaefer	Nature	Negative feedback control of neuronal activity by microglia	20200930	""	15,950	Mouse	Brain	Chromium	GSE149897	""	RNA-seq	Striatum, Microglia	""	""	""		""	""	""	""	Yes	""	""	""	
Pauken et al bioRxiv	10.1101/2020.09.30.294959	Kristen E. Pauken, Osmaan Shahid, Kaitlyn A. Lagattuta, Kelly M. Mahuron, Jacob M. Luber, Margaret M. Lowe, Linglin Huang, Conor Delaney, Jaclyn M. Long, Megan E. Fung, Kathleen Newcomer, Katy K. Tsai, Melissa Chow, Samantha Guinn, Juhi R. Kuchroo, Kelly P. Burke, Jason M. Schenkel, Michael D. Rosenblum, Adil I. Daud, Arlene H. Sharpe, Meromit Singer	bioRxiv	Single-cell analyses identify circulating anti-tumor CD8 T cells and markers for their enrichment	20201002	10.1101/2020.09.30.294959	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Li et al Circulation	10.1161/CIRCULATIONAHA.120.046528	Yanming Li, Pingping Ren, Ashley Dawson, Hernan G. Vasquez, Waleed Ageedi, Chen Zhang, Wei Luo, Rui Chen, Yumei Li, Sangbae Kim, Hong S. Lu, Lisa A. Cassis, Joseph S. Coselli, Alan Daugherty, Ying H. Shen, Scott A. LeMaire	Circulation	Single-Cell Transcriptome Analysis Reveals Dynamic Cell Populations and Differential Gene Expression Patterns in Control and Aneurysmal Human Aortic Tissue	20201005	""	48,128	Human	Aorta	Chromium	""	""	RNA-seq	ascending aortic tissues	Ascending thoracic aortic aneurism	ATAA vs Healthy	""	40	""	""	""	""	""	""	""	""	
Xiaodong et al CDiscovery	10.1038/s41421-020-00200-x	Tao Lu, Xiaodong Yang, Yu Shi, Mengnan Zhao, Guoshu Bi, Jiaqi Liang, Zhencong Chen, Yiwei Huang, Wei Jiang, Zongwu Lin, Junjie Xi, Shuai Wang, Yong Yang, Cheng Zhan, Qun Wang, Lijie Tan	Cell Discov	Single-cell transcriptome atlas of lung adenocarcinoma featured with ground glass nodules	20201006	""	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Darden et al Shock	10.1097/SHK.0000000000001671	Dijoia B. Darden, Rhonda Bacher, Maigan A. Brusko, Parker Knight, Russell B. Hawkins, Michael C. Cox, Marvin L. Dirain, Ricardo Ungaro, Dina C. Nacionales, Jaimar C. Rincon, Marie-Pierre L. Gauthier, Michael Kladde, Azra Bihorac, Todd M. Brusko, Frederick A. Moore, Scott C. Brakenridge, Alicia M. Mohr, Lyle L. Moldawer, Philip A. Efron	Shock	Single Cell RNA-SEQ of Human Myeloid Derived Suppressor Cells in Late Sepsis Reveals Multiple Subsets with Unique Transcriptional Responses	20201006	""	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Kim et al CReports	10.1016/j.celrep.2020.108222	Ik Soo Kim, Jingyi Wu, Gilbert J. Rahme, Sofia Battaglia, Atray Dixit, Elizabeth Gaskell, Huidong Chen, Luca Pinello, Bradley E. Bernstein	Cell Reports	Parallel Single-Cell RNA-Seq and Genetic Recording Reveals Lineage Decisions in Developing Embryoid Bodies	20201006	""	1,536	Mouse	Culture	CEL-seq2	GSE140890	""	RNA-seq	Embroid bodies, mESC	""	""	""		""	""	""	""	""	""	""	""	
Hong et al AJRCCM	10.1164/rccm.202006-2169OC	Jason Hong, Douglas Arneson, Soban Umar, Gregoire Ruffenach, Christine M Cunningham, In Sook Ahn, Graciel Diamante, May Bhetraratana, John F Park, Emma Said, Caroline Huynh, Trixie Le, Lejla Medzikovic, Marc Humbert, Florent Soubrier, David Montani, Barbara Girerd, David-Alexandre Trégouët, Richard Channick, Rajan Saggar, Mansoureh Eghbali, Xia Yang	Am J Respir Crit Care Med	Single-cell Study of Two Rat Models of Pulmonary Arterial Hypertension Reveals Connections to Human Pathobiology and Drug Repositioning	20201006	""	""	Rat	Lung	""	""	""	RNA-seq	""	""	monocrotaline vs Sugen-hypoxia vs control	""		""	""	""	""	""	""	""	""	
Kobayashi et al JoA	10.1016/j.jaut.2020.102547	Satomi Kobayashi, Yasuo Nagafuchi, Mai Okubo, Yusuke Sugimori, Harumi Shirai, Hiroaki Hatano, Maeda Junko, Haruyuki Yanaoka, Yusuke Takeshima, Mineto Ota, Yukiko Iwasaki, Shuji Sumitomo, Tomohisa Okamura, Kazuhiko Yamamoto, Hirofumi Shoda, Keishi Fujio	Journal of Autoimmunity	Integrated bulk and single-cell RNA-sequencing identified disease-relevant monocytes and a gene network module underlying systemic sclerosis	20201008	""	878	Human	Blood	ICELL8	E-GEAD-344	""	RNA-seq	""	SSc	""	""		""	""	""	""	""	""	""	""	
Zhai et al FImmunology	10.3389/fimmu.2020.581209	You Zhai, Guanzhang Li, Renpeng Li, Yuanhao Chang, Yuemei Feng, Di Wang, Fan Wu, Wei Zhang	Front. Immunol.	Single-Cell RNA-Sequencing Shift in the Interaction Pattern Between Glioma Stem Cells and Immune Cells During Tumorigenesis	20201008	""	""	""	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Tran et al bioRxiv	10.1101/2020.10.07.329839	Matthew N. Tran, Kristen R. Maynard, Abby Spangler, Leonardo Collado-Torres, Vijay Sadashivaiah, Madhavi Tippani, Brianna K. Barry, Dana B. Hancock, Stephanie C. Hicks, Joel E. Kleinman, Thomas M. Hyde, Keri Martinowich, Andrew E. Jaffe	bioRxiv	Single-nucleus transcriptome analysis reveals cell type-specific molecular signatures across reward circuitry in the human brain	20201009	10.1101/2020.10.07.329839	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
McLaughlin et al bioRxiv	10.1101/2020.10.08.332130	Colleen N. McLaughlin, Maria Brbić, Qijing Xie, Tongchao Li, Felix Horns, Sai Saroja Kolluru, Justus M. Kebschull, David Vacek, Anthony Xie, Jiefu Li, Robert C. Jones, Jure Leskovec, Steven R. Quake, Liqun Luo, Hongjie Li	bioRxiv	Single-cell transcriptomes of developing and adult olfactory receptor neurons in Drosophila	20201010	10.1101/2020.10.08.332130	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Hao et al bioRxiv	10.1101/2020.10.12.335331	Yuhan Hao, Stephanie Hao, Erica Andersen-Nissen, William M. Mauck, Shiwei Zheng, Andrew Butler, Maddie J. Lee, Aaron J. Wilk, Charlotte Darby, Michael Zagar, Paul Hoffman, Marlon Stoeckius, Efthymia Papalexi, Eleni P. Mimitou, Jaison Jain, Avi Srivastava, Tim Stuart, Lamar B. Fleming, Bertrand Yeung, Angela J. Rogers, Juliana M. McElrath, Catherine A. Blish, Raphael Gottardo, Peter Smibert, Rahul Satija	bioRxiv	Integrated analysis of multimodal single-cell data	20201013	10.1101/2020.10.12.335331	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Hughes et al Immunity	10.1016/j.immuni.2020.09.015	Travis K. Hughes, Marc H. Wadsworth, Todd M. Gierahn, Tran Do, David Weiss, Priscila R. Andrade, Feiyang Ma, Bruno J. de Andrade Silva, Shuai Shao, Lam C. Tsoi, Jose Ordovas-Montanes, Johann E. Gudjonsson, Robert L. Modlin, J. Christopher Love, Alex K. Shalek	Immunity	Second-Strand Synthesis-Based Massively Parallel scRNA-Seq Reveals Cellular States and Molecular Features of Human Inflammatory Skin Pathologies	20201013	10.1101/689273	38,274	Human, Mouse	Blood, Culture, Skin	Chromium & Seq-Well S3	GSE150672	""	RNA-seq	HEK293, 3T3, PBMC, healthy and inflamed skin biopsies	Acne, Alopecia areata, Granuloma annulare, Leprosy, Psoriasis	""	""	33	Yes	Yes	""	""	Yes	""	""	SCP804	19
Fernandes et al CReports	10.1016/j.celrep.2020.108263	Hugo J.R. Fernandes, Nikolaos Patikas, Stefanie Foskolou, Sarah F. Field, Jong-Eun Park, Meg L. Byrne, Andrew R. Bassett, Emmanouil Metzakopian	Cell Reports	Single-Cell Transcriptomics of Parkinson’s Disease Human In Vitro Models Reveals Dopamine Neuron-Specific Stress Responses	20201013	""	15,325	Human	Culture	Chromium	E-MTAB-9154	""	RNA-seq	iPSC derived dopamine neurons	""	Rotenone vs Tunicamycin vs Control, A53T vs WT	""		""	""	""	""	""	https://storage.googleapis.com/h5ad/10.1016-j.celrep.2020.108263/combined-data.h5ad	""	""	
Pool et al Nature	10.1038/s41586-020-2821-8	Allan-Hermann Pool, Tongtong Wang, David A. Stafford, Rebecca K. Chance, Sangjun Lee, John Ngai, Yuki Oka	Nature	The cellular basis of distinct thirst modalities	20201014	""	""	Mouse	Brain	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Ebert et al CTI	10.1002/cti2.1191	Lisa M Ebert, Wenbo Yu, Tessa Gargett, John Toubia, Paris M Kollis, Melinda N Tea, Brenton W Ebert, Cedric Bardy, Mark van den Hurk, Claudine S Bonder, Jim Manavis, Kathleen S Ensbey, Mariana Oksdath Mansilla, Kaitlin G Scheer, Sally L Perrin, Rebecca J Ormsby, Santosh Poonnoose, Barbara Koszyca, Stuart M Pitson, Bryan W Day, Guillermo A Gomez, Michael P Brown	Clin. Transl. Immunol.	Endothelial, pericyte and tumor cell expression in glioblastoma identifies fibroblast activation protein (FAP) as an excellent target for immunotherapy	20201015	""	""	""	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Raj et al Neuron	10.1016/j.neuron.2020.09.023	Bushra Raj, Jeffrey A. Farrell, Jialin Liu, Jakob El Kholtei, Adam N. Carte, Joaquin Navajas Acedo, Lucia Y. Du, Aaron McKenna, Đorđe Relić, Jessica M. Leslie, Alexander F. Schier	Neuron	Emergence of Neuronal Diversity during Vertebrate Brain Development	20201016	10.1101/839860	220,000	Zebrafish	Brain	Chromium	GSE158142	""	RNA-seq	""	""	""	12h, 14, 16h, 18h, 20h, 24h, 36h, 2d, 3d, 5d, 8d, 15d	800	Yes	Yes	No	Yes	Yes	""	""	""	
Sur et al bioRxiv	10.1101/2020.10.16.342709	Abhinav Sur, Néva P. Meyer	bioRxiv	Resolving transcriptional states and predicting lineages in the annelid Capitella teleta using single-cell RNAseq	20201017	10.1101/2020.10.16.342709	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Perez et al bioRxiv	10.1101/2020.10.17.341651	Julio D. Perez, Susanne tom Dieck, Beatriz Alvarez-Castelao, Ivy C.W. Chan, Erin M. Schuman	bioRxiv	Subcellular sequencing of single neurons reveals the dendritic transcriptome of GABAergic interneurons	20201018	10.1101/2020.10.17.341651	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Zhang et al NCommunications	10.1038/s41467-020-19012-4	Shu Zhang, Yueli Cui, Xinyi Ma, Jun Yong, Liying Yan, Ming Yang, Jie Ren, Fuchou Tang, Lu Wen, Jie Qiao	Nat Commun	Single-cell transcriptomics identifies divergent developmental lineage trajectories during human pituitary development	20201019	""	4,113	Human	Brain	""	""	""	RNA-seq	Pituitary gland	""	""	PCW7 - PCW10, PCW13 - PCW17, PCW19, PCW21 - PCW25		""	""	""	""	""	""	""	""	
Amann-Zalcenstein et la NImmunology	10.1038/s41590-020-0799-x	Daniela Amann-Zalcenstein, Luyi Tian, Jaring Schreuder, Sara Tomei, Dawn S. Lin, Kirsten A. Fairfax, Jessica E. Bolden, Mark D. McKenzie, Andrew Jarratt, Adrienne Hilton, Jacob T. Jackson, Ladina Di Rago, Matthew P. McCormack, Carolyn A. de Graaf, Olivia Stonehouse, Samir Taoudi, Warren S. Alexander, Stephen L. Nutt, Matthew E. Ritchie, Ashley P. Ng, Shalin H. Naik	Nat Immunol	A new lymphoid-primed progenitor marked by Dach1 downregulation identified with single cell multi-omics	20201019	""	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Savage et al bioRxiv	10.1101/2020.10.18.344663	Adam K. Savage, Miriam V. Gutschow, Tony Chiang, Kathy Henderson, Richard Green, Monica Chaudhari, Elliott Swanson, Alexander T. Heubeck, Nina Kondza, Kelli C. Burley, Palak C. Genge, Cara Lord, Tanja Smith, Aldan Beaubien, Jeff Goldy, Hamid Bolouri, Jane H. Buckner, Paul Meijer, Ernest M. Coffey, Xiao-jun Li, Peter J. Skene, Troy R. Torgerson, Thomas F. Bumol	bioRxiv	Multi-omic Single-cell Atlas Reveals Broad Ex Vivo Effects on Human Immunobiology	20201020	10.1101/2020.10.18.344663	450,189	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Pervolarakis et al CReports	10.1016/j.celrep.2020.108273	Nicholas Pervolarakis, Quy H. Nguyen, Justice Williams, Yanwen Gong, Guadalupe Gutierrez, Peng Sun, Darisha Jhutty, Grace X.Y. Zheng, Corey M. Nemec, Xing Dai, Kazuhide Watanabe, Kai Kessenbrock	Cell Reports	Integrated Single-Cell Transcriptomics and Chromatin Accessibility Analysis Reveals Regulators of Mammary Epithelial Cell Identity	20201020	""	23,338	""	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
